text,label
You are useless and annoying.,offensive
That group is a threat to society.,hate
Wishing you all the best.,safe
I wish harm upon those people.,hate
Get rich fast with this one trick.,spam
Subscribe for exclusive adult content.,spam
Why don’t you just quit?,offensive
Everyone here hates you.,offensive
I wish harm upon those people.,hate
You're so dumb it hurts.,offensive
Great job on your recent success.,safe
They are all criminals.,hate
You won’t believe this miracle cure.,spam
Make $1000 per day from home.,spam
This religion should be outlawed.,hate
Your face makes me sick.,offensive
Just shut up already.,offensive
They don't belong here.,hate
We should all help each other.,safe
You're so dumb it hurts.,offensive
They deserve to suffer.,hate
Make $1000 per day from home.,spam
They don't belong here.,hate
Wishing you all the best.,safe
People like you should be banned.,hate
Click here for a free iPhone!,spam
I really admire your honesty.,safe
I really admire your honesty.,safe
Free gift cards available instantly.,spam
That's a kind gesture.,safe
Let's work together for a better future.,safe
This group is amazing.,safe
You're nothing but a joke.,offensive
Great job on your recent success.,safe
Nobody cares about your opinion.,offensive
You're the worst person I've met.,offensive
They don't belong here.,hate
That's a kind gesture.,safe
Click here for a free iPhone!,spam
You are useless and annoying.,offensive
Wishing you all the best.,safe
Nobody cares about your opinion.,offensive
I hate every one of them.,hate
They don't belong here.,hate
That group is a threat to society.,hate
They deserve to suffer.,hate
Click here for a free iPhone!,spam
I really admire your honesty.,safe
This group is amazing.,safe
Let's work together for a better future.,safe
We should all help each other.,safe
I hate every one of them.,hate
Thank you for your support.,safe
They are all criminals.,hate
Free gift cards available instantly.,spam
We should all help each other.,safe
Make $1000 per day from home.,spam
Let's work together for a better future.,safe
They are all criminals.,hate
Get rich fast with this one trick.,spam
Go cry somewhere else.,offensive
You're so dumb it hurts.,offensive
Make $1000 per day from home.,spam
Limited time offer! Buy now!,spam
You are useless and annoying.,offensive
Those people are disgusting.,hate
You're nothing but a joke.,offensive
Wishing you all the best.,safe
You're nothing but a joke.,offensive
You are useless and annoying.,offensive
People like you should be banned.,hate
Why don’t you just quit?,offensive
This group is amazing.,safe
They deserve to suffer.,hate
Those people are disgusting.,hate
I really admire your honesty.,safe
Everyone here hates you.,offensive
I hate every one of them.,hate
They don't belong here.,hate
People like you should be banned.,hate
You're so dumb it hurts.,offensive
Go cry somewhere else.,offensive
I wish harm upon those people.,hate
You won’t believe this miracle cure.,spam
Just shut up already.,offensive
I wish harm upon those people.,hate
Win big money now!!!,spam
You're so dumb it hurts.,offensive
Everyone here hates you.,offensive
Cheap luxury watches online.,spam
Get rich fast with this one trick.,spam
Subscribe for exclusive adult content.,spam
You're so dumb it hurts.,offensive
Why don’t you just quit?,offensive
That's a kind gesture.,safe
That race is inferior.,hate
They don't belong here.,hate
They don't belong here.,hate
I wish harm upon those people.,hate
Get rich fast with this one trick.,spam
Those people are disgusting.,hate
You made a positive difference.,safe
They don't belong here.,hate
Subscribe for exclusive adult content.,spam
Great job on your recent success.,safe
I hate every one of them.,hate
Thank you for your support.,safe
They deserve to suffer.,hate
Go cry somewhere else.,offensive
I hate every one of them.,hate
Win big money now!!!,spam
Free gift cards available instantly.,spam
You're so dumb it hurts.,offensive
That group is a threat to society.,hate
You are useless and annoying.,offensive
Don't miss out on this deal!,spam
Go cry somewhere else.,offensive
Free gift cards available instantly.,spam
Click here for a free iPhone!,spam
Wishing you all the best.,safe
They deserve to suffer.,hate
Make $1000 per day from home.,spam
Limited time offer! Buy now!,spam
Win big money now!!!,spam
Everyone here hates you.,offensive
This group is amazing.,safe
I really admire your honesty.,safe
Make $1000 per day from home.,spam
Don't miss out on this deal!,spam
Make $1000 per day from home.,spam
You made a positive difference.,safe
We should all help each other.,safe
Subscribe for exclusive adult content.,spam
Don't miss out on this deal!,spam
I hate every one of them.,hate
You are useless and annoying.,offensive
We should all help each other.,safe
That race is inferior.,hate
Win big money now!!!,spam
Nobody cares about your opinion.,offensive
They are all criminals.,hate
This group is amazing.,safe
Get rich fast with this one trick.,spam
That group is a threat to society.,hate
You're the worst person I've met.,offensive
This group is amazing.,safe
Click here for a free iPhone!,spam
I really admire your honesty.,safe
People like you should be banned.,hate
That's a kind gesture.,safe
That's a kind gesture.,safe
This religion should be outlawed.,hate
Win big money now!!!,spam
Great job on your recent success.,safe
Get rich fast with this one trick.,spam
That group is a threat to society.,hate
Cheap luxury watches online.,spam
People like you should be banned.,hate
You're the worst person I've met.,offensive
Wishing you all the best.,safe
Let's work together for a better future.,safe
We should all help each other.,safe
Make $1000 per day from home.,spam
That's a kind gesture.,safe
Limited time offer! Buy now!,spam
I wish harm upon those people.,hate
This group is amazing.,safe
You are useless and annoying.,offensive
Great job on your recent success.,safe
Don't miss out on this deal!,spam
This religion should be outlawed.,hate
You're so dumb it hurts.,offensive
You're so dumb it hurts.,offensive
They are all criminals.,hate
You won’t believe this miracle cure.,spam
Wishing you all the best.,safe
Go cry somewhere else.,offensive
Let's work together for a better future.,safe
That's a kind gesture.,safe
Click here for a free iPhone!,spam
Just shut up already.,offensive
Cheap luxury watches online.,spam
What a wonderful day it is!,safe
Just shut up already.,offensive
They don't belong here.,hate
I wish harm upon those people.,hate
Free gift cards available instantly.,spam
Why don’t you just quit?,offensive
Get rich fast with this one trick.,spam
Make $1000 per day from home.,spam
Click here for a free iPhone!,spam
Click here for a free iPhone!,spam
You're the worst person I've met.,offensive
You're so dumb it hurts.,offensive
You're so dumb it hurts.,offensive
Make $1000 per day from home.,spam
You're nothing but a joke.,offensive
People like you should be banned.,hate
This religion should be outlawed.,hate
Why don’t you just quit?,offensive
People like you should be banned.,hate
Those people are disgusting.,hate
Free gift cards available instantly.,spam
Wishing you all the best.,safe
I wish harm upon those people.,hate
This group is amazing.,safe
We should all help each other.,safe
Win big money now!!!,spam
Great job on your recent success.,safe
I hate every one of them.,hate
Great job on your recent success.,safe
Nobody cares about your opinion.,offensive
Let's work together for a better future.,safe
We should all help each other.,safe
You made a positive difference.,safe
Don't miss out on this deal!,spam
People like you should be banned.,hate
You're so dumb it hurts.,offensive
Everyone here hates you.,offensive
Those people are disgusting.,hate
That's a kind gesture.,safe
Thank you for your support.,safe
That group is a threat to society.,hate
You're nothing but a joke.,offensive
Limited time offer! Buy now!,spam
They deserve to suffer.,hate
Make $1000 per day from home.,spam
Great job on your recent success.,safe
People like you should be banned.,hate
Great job on your recent success.,safe
What a wonderful day it is!,safe
They are all criminals.,hate
Just shut up already.,offensive
Why don’t you just quit?,offensive
Those people are disgusting.,hate
They are all criminals.,hate
Make $1000 per day from home.,spam
You're the worst person I've met.,offensive
This religion should be outlawed.,hate
Cheap luxury watches online.,spam
They deserve to suffer.,hate
You made a positive difference.,safe
Why don’t you just quit?,offensive
You won’t believe this miracle cure.,spam
Limited time offer! Buy now!,spam
Nobody cares about your opinion.,offensive
That race is inferior.,hate
You won’t believe this miracle cure.,spam
Subscribe for exclusive adult content.,spam
That group is a threat to society.,hate
